iter	Passed	Remaining
0	0	67
1	1	78
2	2	83
3	3	84
4	4	92
5	5	91
6	6	89
7	7	89
8	8	89
9	9	87
10	10	86
11	11	86
12	12	84
13	13	81
14	14	81
15	15	80
16	16	79
17	16	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	70
24	23	69
25	24	68
26	25	67
27	25	66
28	26	64
29	27	63
30	27	62
31	28	60
32	29	60
33	30	58
34	31	58
35	32	57
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	47
45	39	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	52	24
68	53	23
69	53	23
70	54	22
71	54	21
72	55	20
73	55	19
74	56	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
